date,day,visitors,M열,U열
2020-01-01,수,1239.0,0,0
2020-01-02,목,866.0,0,0
2020-01-03,금,812.0,0,0
2020-01-04,토,2059.0,0,0
2020-01-05,일,2721.0,0,0
2020-01-06,월,466.0,17,0
2020-01-07,화,281.0,0,0
2020-01-08,수,622.0,0,0
2020-01-09,목,1282.0,0,0
2020-01-10,금,786.0,0,0
2020-01-11,토,1961.0,0,0
2020-01-12,일,2180.0,0,0
2020-01-13,월,732.0,0,0
2020-01-14,화,895.0,111,0
2020-01-15,수,857.0,60,0
2020-01-16,목,762.0,0,0
2020-01-17,금,674.0,0,0
2020-01-18,토,2425.0,79,0
2020-01-19,일,1539.0,0,0
2020-01-20,월,761.0,0,0
2020-01-21,화,763.0,0,0
2020-01-22,수,780.0,0,0
2020-01-23,목,809.0,0,0
2020-01-24,금,2041.0,0,0
2020-01-25,토,3800.0,0,0
2020-01-26,일,4597.0,0,0
2020-01-27,월,2236.0,0,0
2020-01-28,화,925.0,0,0
2020-01-29,수,757.0,0,0
2020-01-30,목,2013.0,1212,0
2020-01-31,금,628.0,0,0
2020-02-01,토,1251.0,0,0
2020-02-02,일,1142.0,0,0
2020-02-03,월,521.0,0,0
2020-02-04,화,480.0,0,0
2020-02-05,수,301.0,0,0
2020-02-06,목,343.0,0,0
2020-02-07,금,415.0,0,0
2020-02-08,토,1313.0,87,0
2020-02-09,일,1484.0,0,0
2020-02-10,월,760.0,0,0
2020-02-11,화,987.0,0,0
2020-02-12,수,278.0,0,0
2020-02-13,목,721.0,0,0
2020-02-14,금,1049.0,0,0
2020-02-15,토,3226.0,0,0
2020-02-16,일,665.0,0,0
2020-02-17,월,378.0,0,0
2020-02-18,화,630.0,0,0
2020-02-19,수,822.0,0,0
2020-02-20,목,882.0,0,0
2020-02-21,금,565.0,0,0
2020-02-22,토,791.0,0,0
2020-02-23,일,1714.0,0,0
2020-02-24,월,519.0,0,0
2020-02-25,화,77.0,0,0
2020-02-26,수,1275.0,702,0
2020-02-27,목,687.0,0,0
2020-02-28,금,1210.0,1086,0
2020-02-29,토,1384.0,0,0
2020-03-01,일,1062.0,0,0
2020-03-02,월,566.0,0,0
2020-03-03,화,569.0,0,0
2020-03-04,수,372.0,0,0
2020-03-05,목,585.0,0,0
2020-03-06,금,793.0,0,0
2020-03-07,토,2138.0,0,0
2020-03-08,일,4584.0,0,0
2020-03-09,월,920.0,0,0
2020-03-10,화,134.0,0,0
2020-03-11,수,1117.0,0,0
2020-03-12,목,1212.0,0,0
2020-03-13,금,907.0,0,0
2020-03-14,토,3569.0,0,0
2020-03-15,일,2683.0,0,0
2020-03-16,월,869.0,0,0
2020-03-17,화,596.0,0,0
2020-03-18,수,1808.0,0,0
2020-03-19,목,178.0,0,0
2020-03-20,금,1569.0,0,0
2020-03-21,토,5907.0,0,0
2020-03-22,일,7744.0,0,0
2020-03-23,월,1814.0,0,0
2020-03-24,화,1988.0,0,0
2020-03-25,수,1998.0,0,0
2020-03-26,목,1218.0,0,0
2020-03-27,금,1462.0,0,0
2020-03-28,토,6187.0,0,0
2020-03-29,일,8822.0,864,0
2020-03-30,월,2259.0,0,0
2020-03-31,화,2794.0,0,0
2020-04-01,수,2319.0,0,0
2020-04-02,목,3075.0,0,0
2020-04-03,금,3217.0,0,0
2020-04-04,토,7813.0,36,0
2020-04-05,일,7693.0,0,0
2020-04-06,월,2561.0,0,0
2020-04-07,화,2433.0,0,0
2020-04-08,수,2634.0,0,0
2020-04-09,목,2197.0,0,0
2020-04-10,금,2567.0,0,0
2020-04-11,토,6481.0,0,0
2020-04-12,일,5717.0,0,0
2020-04-13,월,2404.0,0,0
2020-04-14,화,3468.0,872,0
2020-04-15,수,7392.0,0,0
2020-04-16,목,2648.0,0,0
2020-04-17,금,222.0,0,0
2020-04-18,토,10325.0,0,0
2020-04-19,일,2892.0,32,0
2020-04-20,월,719.0,0,0
2020-04-21,화,1039.0,0,0
2020-04-22,수,499.0,0,0
2020-04-23,목,3011.0,1796,0
2020-04-24,금,1572.0,0,0
2020-04-25,토,7857.0,39,0
2020-04-26,일,12018.0,0,0
2020-04-27,월,2268.0,0,0
2020-04-28,화,2980.0,0,0
2020-04-29,수,4256.0,1404,0
2020-04-30,목,16598.0,0,0
2020-05-01,금,15733.0,0,0
2020-05-02,토,13597.0,0,0
2020-05-03,일,10559.0,0,0
2020-05-04,월,10000.0,0,0
2020-05-05,화,25907.0,0,0
2020-05-06,수,3458.0,0,0
2020-05-07,목,3846.0,0,0
2020-05-08,금,2263.0,0,0
2020-05-09,토,521.0,0,0
2020-05-10,일,6871.0,0,0
2020-05-11,월,1814.0,0,0
2020-05-12,화,1787.0,0,0
2020-05-13,수,2644.0,0,0
2020-05-14,목,2399.0,0,0
2020-05-15,금,222.0,0,0
2020-05-16,토,4834.0,0,0
2020-05-17,일,8875.0,0,0
2020-05-18,월,933.0,0,0
2020-05-19,화,608.0,0,0
2020-05-20,수,2859.0,0,0
2020-05-21,목,3040.0,0,0
2020-05-22,금,2567.0,13,0
2020-05-23,토,12038.0,0,0
2020-05-24,일,5990.0,0,0
2020-05-25,월,2649.0,0,0
2020-05-26,화,2091.0,0,0
2020-05-27,수,7943.0,5136,0
2020-05-28,목,2829.0,0,0
2020-05-29,금,2511.0,0,0
2020-05-30,토,8157.0,0,0
2020-05-31,일,7746.0,0,0
2020-06-01,월,2419.0,0,0
2020-06-02,화,758.0,41,0
2020-06-03,수,1887.0,0,0
2020-06-04,목,1942.0,0,0
2020-06-05,금,2268.0,0,30
2020-06-06,토,9246.0,31,0
2020-06-07,일,8306.0,0,0
2020-06-08,월,1799.0,0,0
2020-06-09,화,1584.0,0,0
2020-06-10,수,1546.0,0,0
2020-06-11,목,1565.0,0,0
2020-06-12,금,1819.0,0,0
2020-06-13,토,4621.0,0,0
2020-06-14,일,6533.0,0,30
2020-06-15,월,1793.0,0,0
2020-06-16,화,1702.0,0,0
2020-06-17,수,1693.0,0,0
2020-06-18,목,3264.0,1175,0
2020-06-19,금,1826.0,0,0
2020-06-20,토,6019.0,0,0
2020-06-21,일,5512.0,0,0
2020-06-22,월,975.0,0,0
2020-06-23,화,1341.0,0,0
2020-06-24,수,259.0,0,0
2020-06-25,목,767.0,0,0
2020-06-26,금,9415.0,7743,0
2020-06-27,토,6844.0,39,0
2020-06-28,일,6639.0,0,0
2020-06-29,월,1703.0,365,30
2020-06-30,화,658.0,0,0
