date,visitors,zoo_garden_group,theme_garden_group,individual_visitors
2020-01-01,1239.0,0,0,1239.0
2020-01-02,866.0,0,0,866.0
2020-01-03,812.0,0,0,812.0
2020-01-04,2059.0,0,0,2059.0
2020-01-05,2721.0,0,0,2721.0
2020-01-06,466.0,17,0,449.0
2020-01-07,281.0,0,0,281.0
2020-01-08,622.0,0,0,622.0
2020-01-09,1282.0,0,0,1282.0
2020-01-10,786.0,0,0,786.0
2020-01-11,1961.0,0,0,1961.0
2020-01-12,2180.0,0,0,2180.0
2020-01-13,732.0,0,0,732.0
2020-01-14,895.0,111,0,784.0
2020-01-15,857.0,60,0,797.0
2020-01-16,762.0,0,0,762.0
2020-01-17,674.0,0,0,674.0
2020-01-18,2425.0,79,0,2346.0
2020-01-19,1539.0,0,0,1539.0
2020-01-20,761.0,0,0,761.0
2020-01-21,763.0,0,0,763.0
2020-01-22,780.0,0,0,780.0
2020-01-23,809.0,0,0,809.0
2020-01-24,2041.0,0,0,2041.0
2020-01-25,3800.0,0,0,3800.0
2020-01-26,4597.0,0,0,4597.0
2020-01-27,2236.0,0,0,2236.0
2020-01-28,925.0,0,0,925.0
2020-01-29,757.0,0,0,757.0
2020-01-30,2013.0,1212,0,801.0
2020-01-31,628.0,0,0,628.0
2020-02-01,1251.0,0,0,1251.0
2020-02-02,1142.0,0,0,1142.0
2020-02-03,521.0,0,0,521.0
2020-02-04,480.0,0,0,480.0
2020-02-05,301.0,0,0,301.0
2020-02-06,343.0,0,0,343.0
2020-02-07,415.0,0,0,415.0
2020-02-08,1313.0,87,0,1226.0
2020-02-09,1484.0,0,0,1484.0
2020-02-10,760.0,0,0,760.0
2020-02-11,987.0,0,0,987.0
2020-02-12,278.0,0,0,278.0
2020-02-13,721.0,0,0,721.0
2020-02-14,1049.0,0,0,1049.0
2020-02-15,3226.0,0,0,3226.0
2020-02-16,665.0,0,0,665.0
2020-02-17,378.0,0,0,378.0
2020-02-18,630.0,0,0,630.0
2020-02-19,822.0,0,0,822.0
2020-02-20,882.0,0,0,882.0
2020-02-21,565.0,0,0,565.0
2020-02-22,791.0,0,0,791.0
2020-02-23,1714.0,0,0,1714.0
2020-02-24,519.0,0,0,519.0
2020-02-25,77.0,0,0,77.0
2020-02-26,1275.0,702,0,573.0
2020-02-27,687.0,0,0,687.0
2020-02-28,1210.0,1086,0,124.0
2020-02-29,1384.0,0,0,1384.0
2020-03-01,1062.0,0,0,1062.0
2020-03-02,566.0,0,0,566.0
2020-03-03,569.0,0,0,569.0
2020-03-04,372.0,0,0,372.0
2020-03-05,585.0,0,0,585.0
