date,visitors,zoo_garden_group,theme_garden_group,individual_visitors
2021-01-01,633,0,0,633
2021-01-02,928,0,0,928
2021-01-03,625,0,0,625
2021-01-04,199,0,0,199
2021-01-05,162,0,0,162
2021-01-06,265,0,0,265
2021-01-07,74,0,0,74
2021-01-08,63,0,0,63
2021-01-09,165,0,0,165
2021-01-10,527,0,0,527
2021-01-11,103,0,0,103
2021-01-12,176,0,0,176
2021-01-13,851,597,0,254
2021-01-14,446,0,0,446
2021-01-15,283,0,0,283
2021-01-16,1147,0,0,1147
2021-01-17,771,0,0,771
2021-01-18,87,0,0,87
2021-01-19,158,0,0,158
2021-01-20,398,0,0,398
2021-01-21,200,0,0,200
2021-01-22,343,0,0,343
2021-01-23,4556,0,0,4556
2021-01-24,8227,0,0,8227
2021-01-25,1132,0,0,1132
2021-01-26,218,0,0,218
2021-01-27,745,0,0,745
2021-01-28,119,0,0,119
2021-01-29,107,0,0,107
2021-01-30,1503,0,0,1503
2021-01-31,4007,0,0,4007
2021-02-01,515,0,0,515
2021-02-02,192,0,0,192
2021-02-03,208,0,0,208
2021-02-04,244,0,0,244
2021-02-05,361,0,0,361
2021-02-06,3512,0,0,3512
2021-02-07,2477,0,0,2477
2021-02-08,246,0,0,246
2021-02-09,371,0,0,371
2021-02-10,682,0,0,682
2021-02-11,3950,0,0,3950
2021-02-12,5530,0,0,5530
2021-02-13,7588,0,0,7588
2021-02-14,4395,0,0,4395
2021-02-15,456,0,0,456
2021-02-16,101,0,0,101
2021-02-17,116,0,0,116
2021-02-18,165,0,0,165
2021-02-19,1643,69,0,1574
2021-02-20,6203,0,0,6203
2021-02-21,11897,1127,0,10770
2021-02-22,1585,0,0,1585
2021-02-23,734,0,0,734
2021-02-24,1212,0,0,1212
2021-02-25,1167,0,0,1167
2021-02-26,2913,0,0,2913
2021-02-27,11624,0,0,11624
2021-02-28,15378,0,0,15378
2021-03-01,113,0,0,113
2021-03-02,641,0,0,641
2021-03-03,836,0,0,836
2021-03-04,616,0,0,616
2021-03-05,1373,0,0,1373
2021-03-06,10282,0,0,10282
2021-03-07,11425,0,0,11425
2021-03-08,1149,0,0,1149
2021-03-09,1034,0,0,1034
2021-03-10,1260,0,0,1260
2021-03-11,2395,0,0,2395
2021-03-12,347,0,0,347
2021-03-13,10069,0,0,10069
2021-03-14,8828,0,0,8828
2021-03-15,916,0,0,916
2021-03-16,706,0,0,706
2021-03-17,1078,0,0,1078
2021-03-18,1242,0,0,1242
2021-03-19,1687,0,0,1687
2021-03-20,801,0,0,801
2021-03-21,10370,4419,0,5951
2021-03-22,1088,0,0,1088
2021-03-23,1086,0,0,1086
2021-03-24,1101,0,0,1101
2021-03-25,1628,0,0,1628
2021-03-26,1453,0,0,1453
2021-03-27,1291,0,0,1291
2021-03-28,2007,0,0,2007
2021-03-29,802,0,0,802
2021-03-30,1616,0,0,1616
2021-03-31,3512,0,0,3512
2021-04-01,4433,0,0,4433
2021-04-02,5286,0,0,5286
2021-04-03,491,0,0,491
2021-04-04,15169,0,0,15169
2021-04-05,4368,0,0,4368
2021-04-06,3724,0,0,3724
2021-04-07,4132,0,0,4132
2021-04-08,3214,0,0,3214
2021-04-09,5688,278,38,5372
2021-04-10,21369,35,0,21334
2021-04-11,20591,0,0,20591
