,date,visitors,zoo_garden_group,theme_garden_group,individual_visitors,day,is_rainy
0,2022-01-01,1043,0,0,1043,토,비안옴
1,2022-01-02,1084,0,0,1084,일,비안옴
2,2022-01-03,324,0,0,324,월,비안옴
3,2022-01-04,417,0,0,417,화,비안옴
4,2022-01-05,349,0,0,349,수,비안옴
5,2022-01-06,933,477,0,456,목,비안옴
6,2022-01-07,463,0,0,463,금,비안옴
7,2022-01-08,1431,0,0,1431,토,비안옴
8,2022-01-09,1116,0,0,1116,일,비안옴
9,2022-01-10,367,0,0,367,월,비안옴
10,2022-01-11,249,0,0,249,화,비옴
11,2022-01-12,139,0,0,139,수,비안옴
12,2022-01-13,1276,1046,0,230,목,비안옴
13,2022-01-14,224,0,0,224,금,비안옴
14,2022-01-15,1433,0,0,1433,토,비안옴
15,2022-01-16,1262,0,0,1262,일,비안옴
16,2022-01-17,283,0,0,283,월,비안옴
17,2022-01-18,358,78,0,280,화,비안옴
18,2022-01-19,240,0,0,240,수,비안옴
19,2022-01-20,327,0,0,327,목,비안옴
20,2022-01-21,386,0,0,386,금,비안옴
21,2022-01-22,1882,0,0,1882,토,비안옴
22,2022-01-23,2805,0,0,2805,일,비안옴
23,2022-01-24,746,0,0,746,월,비안옴
24,2022-01-25,267,0,0,267,화,비안옴
25,2022-01-26,558,0,0,558,수,비안옴
26,2022-01-27,476,0,0,476,목,비안옴
27,2022-01-28,426,0,0,426,금,비안옴
28,2022-01-29,1237,0,0,1237,토,비안옴
29,2022-01-30,1951,0,0,1951,일,비안옴
30,2022-01-31,2755,0,0,2755,월,비옴
31,2022-02-01,1096,0,0,1096,화,비옴
32,2022-02-02,1651,0,0,1651,수,비안옴
33,2022-02-03,652,0,0,652,목,비안옴
34,2022-02-04,374,0,0,374,금,비안옴
35,2022-02-05,509,0,0,509,토,비안옴
36,2022-02-06,860,0,0,860,일,비안옴
37,2022-02-07,275,0,0,275,월,비안옴
38,2022-02-08,591,0,0,591,화,비안옴
39,2022-02-09,564,0,0,564,수,비안옴
40,2022-02-10,704,0,0,704,목,비안옴
41,2022-02-11,755,0,0,755,금,비안옴
42,2022-02-12,2875,0,0,2875,토,비안옴
43,2022-02-13,4327,0,0,4327,일,비안옴
44,2022-02-14,721,0,0,721,월,비옴
45,2022-02-15,2350,0,0,2350,화,비안옴
46,2022-02-16,282,0,0,282,수,비안옴
47,2022-02-17,215,0,0,215,목,비안옴
48,2022-02-18,599,0,0,599,금,비안옴
49,2022-02-19,2013,0,0,2013,토,비안옴
50,2022-02-20,1677,693,0,984,일,비안옴
51,2022-02-21,364,0,0,364,월,비안옴
52,2022-02-22,380,0,0,380,화,비안옴
53,2022-02-23,337,0,0,337,수,비안옴
54,2022-02-24,656,0,0,656,목,비안옴
55,2022-02-25,1254,0,0,1254,금,비안옴
56,2022-02-26,1947,0,0,1947,토,비옴
57,2022-02-27,6364,0,0,6364,일,비안옴
58,2022-02-28,3653,10,0,3643,월,비안옴
59,2022-03-01,4485,0,0,4485,화,비옴
60,2022-03-02,902,0,0,902,수,비안옴
61,2022-03-03,927,0,0,927,목,비안옴
62,2022-03-04,614,0,0,614,금,비안옴
63,2022-03-05,2774,0,0,2774,토,비안옴
64,2022-03-06,4926,0,0,4926,일,비안옴
65,2022-03-07,755,0,0,755,월,비안옴
66,2022-03-08,1096,0,0,1096,화,비안옴
67,2022-03-09,12164,0,0,12164,수,비안옴
68,2022-03-10,1044,0,0,1044,목,비안옴
