date,day,visitors
2018-01-01,월,2316.0
2018-01-02,화,988.0
2018-01-03,수,694.0
2018-01-04,목,671.0
2018-01-05,금,758.0
2018-01-06,토,1935.0
2018-01-07,일,1881.0
2018-01-08,월,634.0
2018-01-09,화,523.0
2018-01-10,수,382.0
2018-01-11,목,312.0
2018-01-12,금,228.0
2018-01-13,토,1015.0
2018-01-14,일,1654.0
2018-01-15,월,645.0
2018-01-16,화,699.0
2018-01-17,수,631.0
2018-01-18,목,1503.0
2018-01-19,금,918.0
2018-01-20,토,2083.0
2018-01-21,일,2123.0
2018-01-22,월,852.0
2018-01-23,화,363.0
2018-01-24,수,128.0
2018-01-25,목,162.0
2018-01-26,금,222.0
2018-01-27,토,655.0
2018-01-28,일,962.0
2018-01-29,월,409.0
2018-01-30,화,9660.0
2018-01-31,수,585.0
2018-02-01,목,679.0
2018-02-02,금,704.0
2018-02-03,토,1049.0
2018-02-04,일,790.0
2018-02-05,월,348.0
2018-02-06,화,369.0
2018-02-07,수,418.0
2018-02-08,목,724.0
2018-02-09,금,657.0
2018-02-10,토,1861.0
2018-02-11,일,1159.0
2018-02-12,월,499.0
2018-02-13,화,725.0
2018-02-14,수,810.0
2018-02-15,목,1765.0
2018-02-16,금,3007.0
2018-02-17,토,3590.0
2018-02-18,일,3370.0
2018-02-19,월,1558.0
2018-02-20,화,1243.0
2018-02-21,수,1169.0
2018-02-22,목,1348.0
2018-02-23,금,1079.0
2018-02-24,토,3362.0
2018-02-25,일,6139.0
2018-02-26,월,2252.0
2018-02-27,화,1517.0
2018-02-28,수,626.0
2018-03-01,목,3290.0
2018-03-02,금,1500.0
2018-03-03,토,14540.0
2018-03-04,일,3619.0
2018-03-05,월,1049.0
2018-03-06,화,1751.0
2018-03-07,수,1434.0
2018-03-08,목,604.0
2018-03-09,금,1366.0
2018-03-10,토,10723.0
2018-03-11,일,14512.0
2018-03-12,월,1555.0
2018-03-13,화,1819.0
2018-03-14,수,3032.0
2018-03-15,목,390.0
2018-03-16,금,2101.0
2018-03-17,토,21711.0
2018-03-18,일,11340.0
2018-03-19,월,785.0
2018-03-20,화,1228.0
2018-03-21,수,2184.0
2018-03-22,목,1559.0
2018-03-23,금,1922.0
2018-03-24,토,8418.0
2018-03-25,일,7334.0
2018-03-26,월,1227.0
2018-03-27,화,1297.0
2018-03-28,수,1830.0
2018-03-29,목,1588.0
2018-03-30,금,3670.0
2018-03-31,토,24609.0
2018-04-01,일,15121.0
2018-04-02,월,2785.0
2018-04-03,화,3689.0
2018-04-04,수,2575.0
2018-04-05,목,992.0
2018-04-06,금,3920.0
2018-04-07,토,12741.0
2018-04-08,일,12683.0
2018-04-09,월,5775.0
2018-04-10,화,7236.0
2018-04-11,수,4184.0
2018-04-12,목,7264.0
2018-04-13,금,8694.0
2018-04-14,토,2097.0
2018-04-15,일,21355.0
2018-04-16,월,5480.0
2018-04-17,화,5164.0
2018-04-18,수,5634.0
2018-04-19,목,5069.0
