date,visitors,zoo_garden_group,theme_garden_group,individual_visitors,day
2019-01-01,1524,0,0,1524,화
2019-01-02,634,0,0,634,수
2019-01-03,777,0,0,777,목
2019-01-04,690,0,0,690,금
2019-01-05,1601,0,0,1601,토
2019-01-06,2057,0,0,2057,일
2019-01-07,773,0,0,773,월
2019-01-08,804,0,0,804,화
2019-01-09,529,0,0,529,수
2019-01-10,839,31,0,808,목
2019-01-11,814,0,0,814,금
2019-01-12,1855,30,0,1825,토
2019-01-13,1680,30,0,1650,일
2019-01-14,433,0,0,433,월
2019-01-15,493,0,0,493,화
2019-01-16,674,0,0,674,수
2019-01-17,1220,301,0,919,목
2019-01-18,810,0,0,810,금
2019-01-19,1738,0,0,1738,토
2019-01-20,2064,0,0,2064,일
2019-01-21,731,0,0,731,월
2019-01-22,988,0,38,950,화
2019-01-23,756,0,0,756,수
2019-01-24,1010,0,0,1010,목
2019-01-25,882,0,0,882,금
2019-01-26,2023,73,0,1950,토
2019-01-27,2391,0,0,2391,일
2019-01-28,703,0,0,703,월
2019-01-29,938,0,0,938,화
2019-01-30,716,0,0,716,수
2019-01-31,1624,934,0,690,목
2019-02-01,626,0,0,626,금
2019-02-02,1630,32,0,1598,토
2019-02-03,405,30,0,375,일
2019-02-04,2550,0,0,2550,월
2019-02-05,3855,30,0,3825,화
2019-02-06,4046,0,0,4046,수
2019-02-07,996,0,0,996,목
2019-02-08,771,192,0,579,금
2019-02-09,1771,63,0,1708,토
2019-02-10,1652,0,0,1652,일
2019-02-11,732,0,0,732,월
2019-02-12,1041,0,0,1041,화
2019-02-13,917,0,0,917,수
2019-02-14,1290,0,0,1290,목
2019-02-15,587,0,0,587,금
2019-02-16,1889,0,0,1889,토
2019-02-17,2834,0,0,2834,일
2019-02-18,1084,0,0,1084,월
2019-02-19,514,0,0,514,화
2019-02-20,832,0,0,832,수
2019-02-21,998,0,0,998,목
2019-02-22,1005,0,0,1005,금
2019-02-23,4086,2,0,4084,토
2019-02-24,7466,0,0,7466,일
2019-02-25,1428,35,0,1393,월
2019-02-26,2285,0,0,2285,화
2019-02-27,2595,529,0,2066,수
2019-02-28,2135,0,0,2135,목
2019-03-01,6264,107,0,6157,금
2019-03-02,5491,0,0,5491,토
2019-03-03,4393,0,0,4393,일
2019-03-04,822,0,0,822,월
2019-03-05,649,0,0,649,화
2019-03-06,513,0,0,513,수
2019-03-07,1196,0,0,1196,목
2019-03-08,1622,0,0,1622,금
2019-03-09,17833,74,0,17759,토
2019-03-10,9254,0,0,9254,일
2019-03-11,1025,0,0,1025,월
2019-03-12,1326,603,0,723,화
2019-03-13,1064,33,0,1031,수
2019-03-14,1351,0,0,1351,목
2019-03-15,963,128,0,835,금
2019-03-16,8722,98,0,8624,토
2019-03-17,15718,30,0,15688,일
2019-03-18,1945,0,0,1945,월
2019-03-19,2077,31,0,2046,화
2019-03-20,759,0,0,759,수
2019-03-21,1144,60,0,1084,목
2019-03-22,1477,0,0,1477,금
2019-03-23,3562,0,0,3562,토
2019-03-24,12787,35,0,12752,일
2019-03-25,1538,0,0,1538,월
2019-03-26,1744,0,0,1744,화
2019-03-27,1117,0,0,1117,수
2019-03-28,1665,108,0,1557,목
2019-03-29,2870,188,0,2682,금
2019-03-30,2452,115,0,2337,토
2019-03-31,4418,0,0,4418,일
2019-04-01,1876,0,0,1876,월
2019-04-02,2081,55,0,2026,화
2019-04-03,3957,1651,32,2274,수
2019-04-04,3060,123,124,2813,목
2019-04-05,4100,1368,44,2688,금
2019-04-06,11272,212,0,11060,토
2019-04-07,31924,200,0,31724,일
2019-04-08,5501,1007,0,4494,월
2019-04-09,3029,363,53,2613,화
2019-04-10,2124,761,30,1333,수
2019-04-11,8577,3442,151,4984,목
2019-04-12,9296,1597,172,7527,금
2019-04-13,39200,210,0,38990,토
2019-04-14,5017,106,0,4911,일
2019-04-15,6556,208,174,6174,월
2019-04-16,6982,558,267,6157,화
2019-04-17,6040,327,127,5586,수
2019-04-18,4791,442,397,3952,목
2019-04-19,6494,1243,388,4863,금
2019-04-20,29419,182,0,29237,토
2019-04-21,19874,152,0,19722,일
2019-04-22,4445,178,0,4267,월
2019-04-23,3905,761,229,2915,화
2019-04-24,3475,895,3,2577,수
2019-04-25,6869,5228,247,1394,목
2019-04-26,3550,1911,114,1525,금
2019-04-27,23777,447,0,23330,토
2019-04-28,17964,455,0,17509,일
2019-04-29,3283,370,238,2675,월
2019-04-30,6833,2070,448,4315,화
2019-05-01,26327,1476,0,24851,수
2019-05-02,6977,1254,476,5247,목
2019-05-03,9589,2830,528,6231,금
2019-05-04,17366,104,0,17262,토
2019-05-05,43255,4792,0,38463,일
2019-05-06,31870,145,0,31725,월
2019-05-07,4534,524,71,3939,화
2019-05-08,3574,505,207,2862,수
2019-05-09,5572,1430,415,3727,목
2019-05-10,7701,3131,702,3868,금
2019-05-11,17093,1190,35,15868,토
2019-05-12,17370,161,3,17206,일
2019-05-13,3194,110,284,2800,월
2019-05-14,6529,869,554,5106,화
2019-05-15,6094,2733,337,3024,수
2019-05-16,5200,1323,710,3167,목
2019-05-17,8945,3333,1300,4312,금
2019-05-18,16276,881,39,15356,토
2019-05-19,2666,0,319,2347,일
2019-05-20,3766,0,0,3766,월
2019-05-21,7521,2006,259,5256,화
2019-05-22,6119,636,747,4736,수
2019-05-23,6060,765,327,4968,목
2019-05-24,7253,2069,820,4364,금
2019-05-25,23240,5883,171,17186,토
2019-05-26,25575,247,105,25223,일
2019-05-27,1162,0,0,1162,월
2019-05-28,9372,579,175,8618,화
2019-05-29,8026,319,290,7417,수
2019-05-30,19350,11454,770,7126,목
2019-05-31,8759,974,445,7340,금
2019-06-01,26364,1427,40,24897,토
2019-06-02,25449,69,0,25380,일
2019-06-03,6056,233,176,5647,월
2019-06-04,6528,659,392,5477,화
2019-06-05,6975,1381,289,5305,수
2019-06-06,21962,116,120,21726,목
2019-06-07,2612,0,31,2581,금
2019-06-08,27175,257,30,26888,토
2019-06-09,15525,57,64,15404,일
2019-06-10,3073,63,144,2866,월
2019-06-11,4733,0,501,4232,화
2019-06-12,4792,377,322,4093,수
2019-06-13,3361,198,241,2922,목
2019-06-14,3441,414,89,2938,금
2019-06-15,12924,30,0,12894,토
2019-06-16,14680,99,39,14542,일
2019-06-17,3147,214,40,2893,월
2019-06-18,2085,73,36,1976,화
2019-06-19,2212,51,124,2037,수
2019-06-20,3271,292,190,2789,목
2019-06-21,2457,108,210,2139,금
2019-06-22,12601,122,31,12448,토
2019-06-23,11289,0,0,11289,일
2019-06-24,2921,738,0,2183,월
